IFOOD,MERCADOPICPAY,MERCADOSEMPARCELA,ITENSGERIASECURSOS,LAZER,UBER,PETSHOP,DUCATUR,LANCHE,PADARIA,FARMACIAIFOOD
"R$ 25,99","R$ 36,94","R$ 53,99","R$ 102,45","R$ 70,00","R$ 18,91","R$ 115,00","R$ 36,00","R$ 22,00","R$ 29,57","42,88"
"R$ 25,97","R$ 50,48","R$ 18,60","R$ 8,78","R$ 60,00","R$ 8,91",,,"R$ 20,00","R$ 17,50",
"R$ 26,99","R$ 39,00","R$ 24,00","R$ 49,68","R$ 62,18","R$ 49,12",,,"R$ 23,00",,
"R$ 25,99","R$ 25,56","R$ 22,47","R$ 35,30","R$ 59,00",,,,"R$ 20,00",,
"R$ 25,99","R$ 43,03","R$ 75,08","R$ 149,89","R$ 80,80",,,,,,
"R$ 24,48","R$ 44,21","R$ 77,77","R$ 65,14","R$ 62,98",,,,,,
"R$ 24,48","R$ 32,15","R$ 201,19","R$ 24,24","R$ 28,00",,,,,,
"R$ 23,48","R$ 32,27","R$ 25,90","R$ 135,30","R$ 33,00",,,,,,
"R$ 24,48","R$ 34,87","R$ 39,81","R$ 56,01","R$ 22,00",,,,,,
"R$ 42,88","R$ 36,34","R$ 100,00","R$ 50,79","R$ 48,00",,,,,,
"R$ 24,48","R$ 93,99","R$ 129,96","R$ 94,53","R$ 17,00",,,,,,
"R$ 25,99","R$ 43,29","R$ 17,44","R$ 83,75","R$ 11,90",,,,,,
,"R$ 21,18","R$ 124,61","R$ 115,77","R$ 150,00",,,,,,
,"R$ 38,64","R$ 152,07","R$ 19,90","R$ 39,62",,,,,,
,"R$ 23,38","R$ 89,00","R$ 43,90","R$ 60,50",,,,,,
,"R$ 59,49",,"R$ 63,84","R$ 51,01",,,,,,
,"R$ 23,43",,"R$ 256,18",,,,,,,
,"R$ 18,45",,,,,,,,,
,"R$ 52,37",,,,,,,,,
,"R$ 20,71",,,,,,,,,
,"R$ 22,44",,,,,,,,,
,"R$ 22,65",,,,,,,,,
,"R$ 36,48",,,,,,,,,
,"R$ 26,02",,,,,,,,,
,"R$ 20,58",,,,,,,,,
,"R$ 27,26",,,,,,,,,
,"R$ 28,37",,,,,,,,,
,"R$ 27,53",,,,,,,,,
,"R$ 24,29",,,,,,,,,
,"R$ 31,73",,,,,,,,,
,"R$ 30,10",,,,,,,,,
,"R$ 29,02",,,,,,,,,
,"R$ 24,83",,,,,,,,,
,"R$ 27,13",,,,,,,,,
,"R$ 29,03",,,,,,,,,
,"R$ 78,99",,,,,,,,,